feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7845444611817037e+18,23515122279345.574,1.784505600127619e+18,1.784591998012036e+18,-0.07199387586967743,-1.1240973439163295
price,1879.5040415181606,16.52426116598595,1843.14,1918.16,0.09774022918837058,-0.9276037442851797
quantity,0.09383376870793633,0.7360509098165033,0.0001,198.7943,62.19731978773632,10784.361684102849
trade_id,4223271724.5927243,836865.3844067849,4221822661.0,4224721422.0,5.5545168077857504e-05,-1.2003209990304107
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,1.1290446297146627e-05,0.009530666965542054,-1.1899999999998272,1.2699999999999818,4.666750356973837,1676.162780883046
log_return,5.978657972867467e-09,5.061077062710609e-06,-0.000631794130464769,0.0006828820035611471,4.6666169379915186,1659.2563983160567
tick_direction,0.0211137940238033,0.999777079004075,-1.0,1.0,-0.042237025551820476,-1.9982174207475003
trade_intensity,95.66381854486174,159.7196611741368,1.0,3339.0,6.146037017869494,62.67616952987623
obi,0.022059170166348344,0.8284357641299076,-1.0,1.0,-0.04299011145495733,-1.7247208723776664
mid_price,1879.5034997305538,16.524072148184406,1843.1656739504533,1918.1466687907289,0.09775854029934533,-0.9275615319998849
vwmp,1879.5034997305538,16.524072148184406,1843.1656739504533,1918.1466687907289,0.09775854029934533,-0.9275615319998849
price_mid_deviation,0.0005417876064895121,0.1278818968783986,-0.7956421987992144,0.8755356851097531,-0.030576149224501636,0.6457170982214695
