feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7829095739791665e+18,24683751822192.004,1.782864000021627e+18,1.782950399179724e+18,-0.2217417978539373,-1.0831026871029021
price,1598.9823271394466,21.150050743166908,1552.92,1646.26,0.0019234982952812602,-1.2833869096187402
quantity,0.11475093407405795,1.04241433255768,0.0001,479.026,137.1047829509454,40708.184163560836
trade_id,4180178990.267488,773310.7610410155,4178839847.0,4181518444.0,-0.00012808070845685208,-1.2000340099407054
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,1.4102488087187723e-05,0.010919771242341152,-2.769999999999982,1.9300000000000637,-13.662660153650117,9120.2595374311
log_return,8.865497010165593e-09,6.7811153688742405e-06,-0.001708121389742523,0.0011920682558113072,-13.383530012208698,8872.14989856572
tick_direction,0.008387940759042593,0.9999648206061165,-1.0,1.0,-0.016776481147651706,-1.9997200505338828
trade_intensity,102.62907153991814,167.15853880314205,1.0,2685.0,5.350579775226139,43.0808096961489
obi,0.014715031377569547,0.8247968716596416,-1.0,1.0,-0.033121821137595896,-1.7142868229073103
mid_price,1598.9815915519355,21.15049661051277,1552.97067184008,1646.2511801788085,0.00194545948983146,-1.283388852326001
vwmp,1598.9815915519355,21.15049661051277,1552.97067184008,1646.2511801788085,0.00194545948983146,-1.283388852326001
price_mid_deviation,0.000735587510982382,0.12679909952134122,-3.572734883850444,1.9110223223806315,-0.026052268304644462,3.031655325116907
