feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7800612446568742e+18,21084986800764.215,1.780012800026248e+18,1.780099197092337e+18,-0.7178231931210493,-0.3078055451436903
price,2014.4407228357522,15.266985033585616,1976.48,2046.59,0.12079975974937505,-0.6245028717841663
quantity,0.09711221622926648,0.8043032598982297,0.0001,275.3566,63.77450606525105,12645.912178689874
trade_id,4053493850.883353,844243.0823069861,4052030722.0,4054956091.0,-0.0009559971133072795,-1.1992399335381199
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,1.5992169683454306e-06,0.008781171773540453,-1.5699999999999363,1.759999999999991,5.27941062352772,7087.3051454824335
log_return,7.947548746150733e-10,4.360284484967797e-06,-0.0007821549513842285,0.0008767691620112927,5.307354849733198,7099.83846643902
tick_direction,0.016391458049099743,0.999865651026689,-1.0,1.0,-0.03278733795533654,-1.9989263654023022
trade_intensity,130.3891747799701,159.05713209992567,1.0,2738.0,3.6599827364125574,25.15131639525265
obi,0.020722369900603027,0.8818741903651164,-1.0,1.0,-0.039790529257255215,-1.8164278990601133
mid_price,2014.4410506873915,15.267009314496063,1976.4981796204484,2046.579256193525,0.12082198596951717,-0.6245425073180089
vwmp,2014.4410506873915,15.267009314496063,1976.4981796204484,2046.579256193525,0.12082198596951717,-0.6245425073180089
price_mid_deviation,-0.00032785163918563036,0.07906897625962964,-1.0792269550595393,1.4789974128182166,0.18181192500034504,3.919706963658811
