feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7810055321055916e+18,24337854539481.664,1.780963200179098e+18,1.781049599071527e+18,-0.27510812279954944,-1.1138462579499206
price,1659.1428264561707,18.785712816643233,1614.02,1696.88,-0.03577740745880762,-0.978774240570301
quantity,0.08551206496027991,0.6599568387148967,0.0001,397.8822,83.50391024870464,33272.87714654462
trade_id,4114043808.214179,1299368.6536410123,4111792350.0,4116293865.0,-0.0009547876829872437,-1.19983898406656
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,-1.1368673637638706e-05,0.008593925631282114,-1.5399999999999636,1.849999999999909,-1.7269938314210282,3855.1102727188522
log_return,-6.828565311148106e-09,5.164736778495701e-06,-0.0009170870624837235,0.001128355069687892,-1.4027645792500394,3791.68873743267
tick_direction,-0.1307560324132129,0.991414575234576,-1.0,1.0,0.2637767881067644,-1.9304226673728118
trade_intensity,113.45039847245718,132.35313031153993,1.0,2061.0,3.3732486512211626,20.330096834659763
obi,-0.11829648685106633,0.8580320036944635,-1.0,1.0,0.2369483694360488,-1.7215651786287371
mid_price,1659.1422307109158,18.785592663197605,1614.0216210402214,1696.8738066284284,-0.035788485333872064,-0.9786977132911479
vwmp,1659.1422307109158,18.785592663197605,1614.0216210402214,1696.8738066284284,-0.035788485333872064,-0.9786977132911479
price_mid_deviation,0.000595745254790954,0.10140711686229685,-1.6503994129523107,1.4521343855817577,0.3502179486236897,1.7569481284482888
