model,aic,bic,log_likelihood,parameter_count,observations,empirical_volatility,model_volatility,likelihood_type,aic_rank_within_likelihood,bic_rank_within_likelihood,information_criterion_scope
QRW Adaptive,5816.764997579107,5859.724330549988,-2902.3824987895537,6,9508,2.7642901686767605e-06,1.2319229254497955e-07,directional_bernoulli,1.0,1.0,within_likelihood_type_only
CRW Simple,13180.886785527919,13180.886785527919,-6590.443392763959,0,9508,2.7642901686767605e-06,5.8872770274034905e-08,directional_bernoulli,4.0,4.0,within_likelihood_type_only
CRW Biased,12932.35252402151,12939.51241284999,-6465.176262010755,1,9508,2.7642901686767605e-06,7.301936023287884e-08,directional_bernoulli,3.0,3.0,within_likelihood_type_only
CRW Correlated,6886.882850237756,6901.202627894717,-3441.441425118878,2,9508,2.7642901686767605e-06,1.2173049207533747e-07,directional_bernoulli,2.0,2.0,within_likelihood_type_only
"GARCH(1,1)",-1371357.2337701512,-1371321.2254374535,685682.6168850756,4,59999,2.7642901686767605e-06,6.030508240609361e-06,continuous_gaussian,1.0,1.0,within_likelihood_type_only
GBM,-1365547.817575651,-1365529.8134093022,682775.9087878255,2,59999,2.7642901686767605e-06,2.679510962969058e-06,continuous_gaussian,2.0,2.0,within_likelihood_type_only
