model,likelihood_type,aic,bic,log_likelihood,parameter_count,observations,aic_rank_within_family,bic_rank_within_family,delta_aic_within_family,delta_bic_within_family,is_best_in_family
"GARCH(1,1)",continuous_gaussian,-42292423.295429446,-42292373.531317264,21146215.647714723,4,1869213,1.0,1.0,0.0,0.0,True
GBM,continuous_gaussian,-41762657.44769122,-41762632.56563513,20881330.72384561,2,1869213,2.0,2.0,529765.8477382287,529740.965682134,False
QRW Adaptive,directional_bernoulli,163554.08711153036,163618.682613403,-81771.04355576518,6,350080,1.0,1.0,0.0,0.0,True
QRW Heavy-Tail,directional_bernoulli,163556.08711153036,163631.44853038178,-81771.04355576518,7,350080,2.0,2.0,2.0,12.765916978765745,False
CRW Correlated,directional_bernoulli,283740.1737457884,283761.70559117186,-141868.0868728942,2,350082,3.0,3.0,120186.08663425804,120143.02297776885,False
CRW Biased,directional_bernoulli,485316.67739065323,485327.44331334496,-242657.33869532662,1,350082,4.0,5.0,321762.5902791229,321708.76069994195,False
CRW Simple,directional_bernoulli,485316.7025295736,485316.7025295736,-242658.3512647868,0,350082,5.0,4.0,321762.6154180432,321698.01991617057,False
