model,ks_statistic_rank,wasserstein_rank,variance_scaling_rank,acf_mse_rank,kurtosis_rank,var_99_rank,cvar_99_rank,mean_rank,overall_rank
CRW Correlated,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0
CRW Biased,1.0,2.0,3.0,6.0,4.0,3.0,4.0,3.2857142857142856,2.0
QRW Heavy-Tail,4.0,1.0,5.0,4.0,2.0,5.0,6.0,3.857142857142857,3.0
GBM,6.0,6.0,6.0,3.0,7.0,1.0,1.0,4.285714285714286,4.0
CRW Simple,3.0,4.0,7.0,5.0,5.0,4.0,3.0,4.428571428571429,5.0
QRW Adaptive,5.0,5.0,4.0,2.0,6.0,5.0,5.0,4.571428571428571,6.0
"GARCH(1,1)",7.0,7.0,2.0,7.0,1.0,7.0,7.0,5.428571428571429,7.0
