model,ks_statistic,ks_pvalue,ks_pvalue_bh,wasserstein_distance,variance_scaling_beta,beta_ci_low,beta_ci_high,pvalue_beta_gt_1,pvalue_beta_gt_1_bh,acf_mse,kurtosis,tail_index,var_99,cvar_99
QRW Adaptive,0.144,6.125192815723937e-05,0.0001429211657002252,7.231360033338027e-07,1.0027685546928522,0.9833658367339424,1.0217468644039163,0.1140441898577951,0.2280883797155902,0.003279595799207295,3.4641180270009473,1683010.2278473526,0.0,1.1734454920914663e-09
QRW Heavy-Tail,0.114,0.00299005061044668,0.00523258856828169,6.483518398847927e-07,1.0004532184023793,0.9723415218235423,1.0334090345047202,0.32036628890018337,0.42715505186691116,0.003289663006716538,43.96381204421424,1.7407007923682634,0.0,3.7610144065470087e-10
CRW Simple,0.072,0.14973189477810775,0.20962465268935088,7.053000825038917e-07,0.9904539107842342,0.972450049436932,1.0062708512272478,0.9889877996393631,0.9889877996393631,0.003293527047038977,5.073031275094189,1009587.8755250889,1.564603538336987e-07,1.5646046618828638e-07
CRW Biased,0.054,0.4599232291065006,0.4599232291065006,7.021711180036946e-07,1.0038792894767607,0.9843698720489811,1.0228885535990409,0.03963861141001639,0.10570296376004372,0.0033075700367844194,5.4696905795057855,3031026.4804903273,1.564603782597193e-07,1.564604465817447e-07
CRW Correlated,0.06,0.3293581065813255,0.3842511243448798,7.027969322985222e-07,1.322673052654071,1.3069221626467613,1.338945185955468,9.717401266319855e-06,7.773921013055884e-05,0.002163850572348495,6.366365873669204,721858.1737109261,1.564606968049594e-07,1.564609068358738e-07
"GARCH(1,1)",0.482,5.603643909617823e-53,3.922550736732476e-52,4.870845382721535e-06,1.0076531824195387,0.9210098154218551,1.0822421838396215,0.2220938677507366,0.3553501884011786,0.0035949977675890947,45.57243716098676,2.0326709010034967,2.3210725497963558e-05,4.17594697032945e-05
GBM,0.458,1.1457016238470832e-47,4.0099556834647913e-47,2.60966928209533e-06,0.9982201238206666,0.9806822720403098,1.0146427565411953,0.9563822431263246,0.9889877996393631,0.003283890876630834,3.196706209808586,3.6084867264861966,8.54895727628567e-06,9.237306748825552e-06
