model,intercept,beta,beta_se,t_statistic_beta_gt_1,pvalue_beta_gt_1,r_squared,beta_ci_low,beta_ci_high,bootstrap_probability_beta_le_1,bootstrap_iterations,bootstrap_method,horizons_used,min_horizon,max_horizon,pvalue_beta_gt_1_bh
Empirical,-25.05694318985948,1.2847279764670112,0.03506404551579166,8.120226068574413,0.0006254135922702843,0.9970292263698031,0.7921718962296092,1.3449685886495617,0.196,500,moving_block_returns,6,1,100,0.002501654369081137
QRW Adaptive,-33.215246337564345,1.0027685546928522,0.0020627046432955915,1.3421963739941303,0.1140441898577951,0.9999746129110991,0.9833658367339424,1.0217468644039163,0.396,500,path_resampling,8,1,500,0.2280883797155902
QRW Heavy-Tail,-24.571646774827904,1.0004532184023793,0.0009226730459231759,0.49120151973862436,0.32036628890018337,0.9999948966996369,0.9723415218235423,1.0334090345047202,0.584,500,path_resampling,8,1,500,0.42715505186691116
CRW Simple,-32.99949501349514,0.9904539107842342,0.003112440404578645,-3.067075341176904,0.9889877996393631,0.9999407539956379,0.972450049436932,1.0062708512272478,0.868,500,path_resampling,8,1,500,0.9889877996393631
CRW Biased,-33.02915617366936,1.0038792894767607,0.001837766481616017,2.11087181944332,0.03963861141001639,0.9999798924025999,0.9843698720489811,1.0228885535990409,0.344,500,path_resampling,8,1,500,0.10570296376004372
CRW Correlated,-32.98982660794796,1.322673052654071,0.026686267820969643,12.091351807558484,9.717401266319855e-06,0.9975635220823187,1.3069221626467613,1.338945185955468,0.0,500,path_resampling,8,1,500,7.773921013055884e-05
"GARCH(1,1)",-22.58660573462447,1.0076531824195387,0.009346619718158417,0.8188182091831847,0.2220938677507366,0.9994840422983721,0.9210098154218551,1.0822421838396215,0.424,500,path_resampling,8,1,500,0.3553501884011786
GBM,-25.177401311308966,0.9982201238206666,0.0008717502286286441,-2.0417272297517255,0.9563822431263246,0.9999954240553649,0.9806822720403098,1.0146427565411953,0.616,500,path_resampling,8,1,500,0.9889877996393631
