feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7787636805841052e+18,21978592720005.746,1.77871680044619e+18,1.778803197533782e+18,-0.4762499419531115,-0.720065151742459
price,2278.860887671528,21.88313539305545,2238.64,2319.33,0.1714668476650889,-1.382871467579185
quantity,0.09433021050481484,0.7069663921822493,0.0001,268.0181,67.66848613380262,14383.929626839517
trade_id,4015055979.71541,788078.4273399988,4013690628.0,4016421034.0,-0.0006262021408976288,-1.1996470669777457
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,9.066300131035558e-06,0.007096373307693549,-4.289999999999964,2.350000000000364,-73.79292036948762,57576.58537531333
log_return,3.992324249172585e-09,3.1174983637187747e-06,-0.0018996469890586454,0.0010282597283461925,-75.63263090708433,59028.9160217994
tick_direction,-0.07668932197053213,0.9970550375459221,-1.0,1.0,0.15383175751700798,-1.9763372477255758
trade_intensity,108.09104607922154,131.92825443984816,1.0,2010.0,3.4104547682388597,19.782638629980536
obi,-0.08095973575176495,0.8629398387093434,-1.0,1.0,0.14642187635100196,-1.765750325095357
mid_price,2278.860020650642,21.883345916559506,2238.6589781889943,2319.3122652670572,0.17148539519847536,-1.382851661316053
vwmp,2278.860020650642,21.883345916559506,2238.6589781889943,2319.3122652670572,0.17148539519847536,-1.382851661316053
price_mid_deviation,0.0008670208856134088,0.09436361267013353,-4.000362641259471,1.6361939066259765,-2.174149521288205,91.45404768343705
