model,aic,bic,log_likelihood,parameter_count,observations,empirical_volatility,model_volatility,likelihood_type
QRW Adaptive,163554.08711153036,163618.682613403,-81771.04355576518,6,350080,3.405471998613662e-06,6.153678200935846e-08,directional_bernoulli
QRW Heavy-Tail,163556.08711153036,163631.44853038178,-81771.04355576518,7,350080,3.405471998613662e-06,4.231586847998802e-06,directional_bernoulli
CRW Simple,485316.7025295736,485316.7025295736,-242658.3512647868,0,350082,3.405471998613662e-06,6.771469652195216e-08,directional_bernoulli
CRW Biased,485316.67739065323,485327.44331334496,-242657.33869532662,1,350082,3.405471998613662e-06,6.759390539510841e-08,directional_bernoulli
CRW Correlated,283740.1737457884,283761.70559117186,-141868.0868728942,2,350082,3.405471998613662e-06,6.769249758933409e-08,directional_bernoulli
"GARCH(1,1)",-42292423.295429446,-42292373.531317264,21146215.647714723,4,1869213,3.405471998613662e-06,1.2924617758955923e-05,continuous_gaussian
GBM,-41762657.44769122,-41762632.56563513,20881330.72384561,2,1869213,3.405471998613662e-06,3.4045217775120855e-06,continuous_gaussian
