model,likelihood_type,aic,bic,log_likelihood,parameter_count,observations,aic_rank_within_family,bic_rank_within_family,delta_aic_within_family,delta_bic_within_family,is_best_in_family
"GARCH(1,1)",continuous_gaussian,-26599.813678156985,-26579.648031501805,13303.906839078492,4,1143,1.0,1.0,0.0,0.0,True
GBM,continuous_gaussian,-26091.14496724048,-26081.062143912888,13047.57248362024,2,1143,2.0,2.0,508.6687109165032,498.5858875889171,False
CRW Biased,directional_bernoulli,178.59992077402234,181.61720061083727,-88.29996038701117,1,151,1.0,1.0,0.0,0.0,True
CRW Correlated,directional_bernoulli,189.8667061566893,195.90126583031915,-92.93335307834464,2,151,2.0,2.0,11.266785382666967,14.284065219481874,False
CRW Simple,directional_bernoulli,209.3304485291035,209.3304485291035,-104.66522426455175,0,151,3.0,3.0,30.73052775508117,27.713247918266234,False
QRW Adaptive,directional_bernoulli,400.7033430035084,418.72702083918114,-194.3516715017542,6,149,4.0,4.0,222.10342222948606,237.10982022834386,False
