model,sample_size,kurtosis,kurtosis_test_statistic,kurtosis_test_pvalue,tail_index,tail_observations,var_95,cvar_95,var_99,cvar_99,kurtosis_test_pvalue_bh
Empirical,500,74.76862916605592,14.436599687777596,3.044979734665095e-47,2.4747687558943223,7,1.564456766800504e-07,5.275693727355701e-06,1.03308072393915e-05,1.764830095076775e-05,1.217991893866038e-46
QRW Adaptive,500,3.1719327599647222,0.8439632895829775,0.3986899197912013,1597808.9782231543,10,0.0,0.0,0.0,0.0,0.3986899197912013
QRW Heavy-Tail,500,342.52092314228696,16.536424351395834,2.0058032115039746e-61,1.4455091834669251,9,0.0,7.631753248158872e-10,0.0,7.631753248158872e-10,1.6046425692031797e-60
CRW Simple,500,6.785998296015538,7.0245992942346875,2.146814604369367e-12,1356842.2161000327,7,1.564601834977045e-07,1.5646033500431326e-07,1.5646037850507863e-07,1.5646051028635183e-07,4.293629208738734e-12
CRW Biased,500,5.297953942624652,5.515542158355833,3.47706377593463e-08,2295846.6961780554,9,1.564602800926739e-07,1.5646038623001165e-07,1.564604760470684e-07,1.564605453805071e-07,5.5633020414954075e-08
CRW Correlated,500,5.134963698109276,5.301235626794915,1.1502152081540327e-07,756861.5962069291,9,1.5646037801435997e-07,1.564606040515331e-07,1.5646079423703704e-07,1.564609941697313e-07,1.5336202775387104e-07
"GARCH(1,1)",500,46.41728062994091,13.507783823404855,1.4069326989682365e-41,2.2738180259323064,50,1.1442349840957534e-05,1.751092627317567e-05,2.0376358527494154e-05,2.7026545868862768e-05,3.751820530581964e-41
GBM,500,3.5146750563268574,2.0422246521915937,0.041129252193459996,3.78689968890497,50,5.151527588175961e-06,7.302374380176405e-06,9.230051758623977e-06,1.0111085796409936e-05,0.047004859649668565
