model,likelihood_type,aic,bic,log_likelihood,parameter_count,observations,aic_rank_within_family,bic_rank_within_family,delta_aic_within_family,delta_bic_within_family,is_best_in_family
"GARCH(1,1)",continuous_gaussian,-6863752.616112191,-6863709.702350584,3431880.3080560956,4,337203,1.0,1.0,0.0,0.0,True
GBM,continuous_gaussian,-6807557.354832807,-6807535.8979520025,3403780.6774164033,2,337203,2.0,2.0,56195.261279384606,56173.804398581386,False
QRW Adaptive,directional_bernoulli,64492.94696188066,64547.5887833013,-32240.47348094033,6,66634,1.0,1.0,0.0,0.0,True
QRW Heavy-Tail,directional_bernoulli,64494.94696188066,64558.69575353807,-32240.47348094033,7,66634,2.0,2.0,2.0,11.106970236774941,False
CRW Correlated,directional_bernoulli,80950.63463342155,80968.84866393718,-40473.317316710774,2,66637,3.0,3.0,16457.687671540887,16421.259880635887,False
CRW Biased,directional_bernoulli,92370.03403707073,92379.14105232854,-46184.01701853536,1,66637,4.0,5.0,27877.087075190066,27831.55226902725,False
CRW Simple,directional_bernoulli,92378.49734194613,92378.49734194613,-46189.248670973066,0,66637,5.0,4.0,27885.55038006547,27830.908558644835,False
