model,sample_size,kurtosis,kurtosis_test_statistic,kurtosis_test_pvalue,tail_index,tail_observations,var_95,cvar_95,var_99,cvar_99,kurtosis_test_pvalue_bh
Empirical,500,9.029888505533979,8.452893937556457,2.841698016499832e-17,2.525703159721339,7,0.0,7.360073401383976e-07,1.6414299546738677e-05,1.9697641284999178e-05,2.273358413199866e-16
QRW Adaptive,500,3.4314116099610175,1.778965165929315,0.0752454730812132,15228.701587191697,10,0.0,2.0665255077762813e-07,1.6400836443048977e-07,1.6408212531743672e-05,0.10024567970911281
QRW Heavy-Tail,500,4.889055775161067,4.951671144768739,7.357886909256663e-07,11885.758707498011,8,0.0,3.8873663944140344e-07,1.6403534831307916e-05,1.640950339143733e-05,1.4715773818513325e-06
CRW Simple,500,4.7421652939659324,4.725775530119278,2.2923876865629176e-06,11277.405641040801,10,1.6417800179285576e-05,1.641860889301771e-05,1.6419148010723333e-05,1.6419627325299024e-05,3.667820298500668e-06
CRW Biased,500,5.027048336306034,5.1519544520511245,2.5778565386577926e-07,21000.435388985068,10,1.6417530639577416e-05,1.641850904962016e-05,1.641888112255626e-05,1.6419795074336866e-05,6.874284103087447e-07
CRW Correlated,500,5.994216102691713,6.306575140219278,2.8527751364027313e-10,17397.794080045547,8,1.6417530639577416e-05,1.64201168110472e-05,1.6422386406377347e-05,1.6422977065190467e-05,1.1411100545610925e-09
"GARCH(1,1)",500,3.4096678180531357,1.7075764039950778,0.08771496974547371,3.591824611714176,50,1.8720517220199352e-05,2.419792415378701e-05,2.72231015168582e-05,3.165165138587032e-05,0.10024567970911281
GBM,500,3.1967062098206185,0.9418645177043969,0.3462620083103173,3.6020230646190097,50,1.5900222191209662e-05,2.155661829082842e-05,2.509010838193219e-05,2.7111064891525457e-05,0.3462620083103173
