model,aic,bic,log_likelihood,parameter_count,observations,empirical_volatility,model_volatility,likelihood_type
QRW Adaptive,400.7033430035084,418.72702083918114,-194.3516715017542,6,149,2.6681170568428418e-06,5.5130218624424795e-08,directional_bernoulli
CRW Simple,209.3304485291035,209.3304485291035,-104.66522426455175,0,151,2.6681170568428418e-06,5.723838437487146e-08,directional_bernoulli
CRW Biased,178.59992077402234,181.61720061083727,-88.29996038701117,1,151,2.6681170568428418e-06,5.6392314150772394e-08,directional_bernoulli
CRW Correlated,189.8667061566893,195.90126583031915,-92.93335307834465,2,151,2.6681170568428418e-06,5.725762881991167e-08,directional_bernoulli
"GARCH(1,1)",-26599.813678156985,-26579.648031501805,13303.906839078492,4,1143,2.6681170568428418e-06,7.99478846629189e-06,continuous_gaussian
GBM,-26091.144967240478,-26081.062143912888,13047.572483620239,2,1143,2.6681170568428418e-06,2.6677127866882243e-06,continuous_gaussian
