model,ks_statistic,ks_pvalue,ks_pvalue_bh,wasserstein_distance,variance_scaling_beta,beta_ci_low,beta_ci_high,pvalue_beta_gt_1,pvalue_beta_gt_1_bh,acf_mse,kurtosis,tail_index,var_99,cvar_99
QRW Adaptive,0.108,0.005832082533064598,0.005832082533064598,6.384319463076468e-07,1.0022561612547984,0.98525001030843,1.0191913160849364,0.15019057472230596,0.2308620770366093,0.009905028474168838,7.369345353998879,1656334.3822741148,1.5758321656295065e-07,1.5758350862381666e-07
CRW Simple,0.108,0.005832082533064598,0.005832082533064598,6.34336366237067e-07,0.9983105572830986,0.9813833962108269,1.0145974477892477,0.7013799937743468,0.7013799937743468,0.009898432762532876,6.9739356770994,2221594.0375373,1.5758391115078077e-07,1.5758399034966296e-07
CRW Biased,0.142,8.166923754298366e-05,0.0001633384750859673,6.475734183252275e-07,1.000411467113637,0.9841489393684641,1.0163856813756793,0.16490148359757806,0.2308620770366093,0.009894269048832047,6.886139437671737,1532897.050682547,1.575845815046589e-07,1.5758465586185768e-07
CRW Correlated,0.118,0.0018769751767371433,0.002815462765105715,6.368577007649677e-07,1.1484757161963168,1.1301322515576904,1.1649118109742473,1.769554083421037e-05,0.00012386878583947258,0.005614742074787491,7.871854802800102,1228443.8147883567,1.5758391115078077e-07,1.5758398535365856e-07
"GARCH(1,1)",0.472,1.0004926984376965e-50,3.00147809531309e-50,3.4207504624093583e-06,1.000613283222041,0.9512431815049026,1.0569516708583522,0.46147993005016874,0.5383932517251969,0.010394658328009475,27.90310091964389,1.6622252544693976,1.590913272527449e-05,3.45048487623717e-05
GBM,0.506,1.2955196843527203e-58,7.773118106116322e-58,1.9881138264587683e-06,1.0020228244146216,0.9835925296754531,1.0199088250289543,0.06614388122402845,0.15433572285606637,0.00990651633540679,2.8608306308406224,5.626670842992759,5.706920027295916e-06,6.203699616685917e-06
