feature,mean,std,min,max,skewness,kurtosis
timestamp,1.78256321773494e+18,25364245910173.926,1.782518400011079e+18,1.782604799437422e+18,-0.11675766992421772,-1.229555628544652
price,60368.18804053385,227.4020791560049,59855.16,60941.17,0.14932348306938809,-0.4456337283347116
quantity,0.00548476427198396,0.07589990112550754,1e-05,21.63025,109.55501959361627,19787.65807636377
trade_id,6454078076.91346,509168.40837257984,6453196261.0,6454959676.0,-0.00023591915559150234,-1.2006521731321602
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,-3.924393204999494e-05,0.1630957135576642,-19.37000000000262,16.43000000000029,-0.5941379419781584,622.270655781828
log_return,-6.533780874923074e-10,2.7011286583588267e-06,-0.0003202430237081444,0.0002717399635638884,-0.5811612905727519,620.379687550671
tick_direction,-0.01833376254288263,0.9998319224504791,-1.0,1.0,0.03667372073153447,-1.9986573360022801
trade_intensity,111.26314530889292,164.88024516007863,1.0,3561.0,6.64081162087281,85.94044303780927
obi,-0.029245364440100566,0.8626168015715551,-1.0,1.0,0.058294239892860936,-1.7833716618508912
mid_price,60368.194416457234,227.39410158860466,59855.721198556326,60941.16520123342,0.1493096549903979,-0.4457726173492307
vwmp,60368.194416457234,227.39410158860466,59855.721198556326,60941.16520123342,0.1493096549903979,-0.4457726173492307
price_mid_deviation,-0.006375923375338338,1.8788421322362385,-24.348888629319845,17.579599007047364,0.12387047622746866,2.3093247099403187
