model,evaluation_scope,sample_size,kurtosis,kurtosis_test_statistic,kurtosis_test_pvalue,tail_index,tail_observations,var_95,cvar_95,var_99,cvar_99,kurtosis_test_pvalue_bh
Empirical,trajectory_only,30,28.250750141215992,5.199358307606893,1.999777025937486e-07,,0,2.0580302659389716e-06,8.16923256508062e-06,1.0082708536671711e-05,1.272512773553558e-05,6.999219590781202e-07
QRW Adaptive,trajectory_only,30,4.571384234997464,1.6568238953289203,0.09755508445566599,1.7441938167428082,5,1.0447104381308517e-06,1.4138936168827318e-06,1.479875226863993e-06,1.5709926882666862e-06,0.1365771182379324
CRW Simple,trajectory_only,30,4.122023809524254,1.3430716304374735,0.17924878071530548,,0,1.5709931940885062e-07,1.5709933045002035e-07,1.5709933045002035e-07,1.5709933045002035e-07,0.17924878071530545
CRW Biased,trajectory_only,30,8.581349206350698,3.221813432747962,0.0012738205123244359,,0,8.640461825274775e-08,1.5709933056104265e-07,1.5709934091276377e-07,1.570993552079977e-07,0.0022291858965677626
CRW Correlated,trajectory_only,30,33.000000000000014,5.395901943493079,6.818017637374776e-08,,0,-0.0,0.0,-0.0,0.0,4.772612346162343e-07
"GARCH(1,1)",trajectory_only,30,9.274894821019911,3.383160516123604,0.0007165673767973288,2.327269193723595,5,5.621076849583865e-06,5.665809988353226e-06,5.674675194957319e-06,5.686917623124876e-06,0.0016719905458604338
GBM,trajectory_only,30,4.242182490468889,1.4322286102559938,0.1520784063183421,2.5051240773825563,5,4.092434969755951e-06,5.250469455486558e-06,5.652407280311235e-06,6.20746427649769e-06,0.17742480737139912
