model,intercept,beta,beta_se,t_statistic_beta_gt_1,pvalue_beta_gt_1,r_squared,beta_ci_low,beta_ci_high,bootstrap_probability_beta_le_1,bootstrap_iterations,bootstrap_method,horizons_used,min_horizon,max_horizon,pvalue_beta_gt_1_bh
Empirical,-25.861071979091147,1.1989713229098267,0.0662652319544036,3.0026503649264624,0.10233208564084224,0.9969547056192568,-2.5140569715825603,1.3545514663497256,0.5393258426966292,979,moving_block_returns,3,1,10,0.17908114987147392
QRW Adaptive,-33.173947389775314,1.3090840896670277,0.0797727678285763,3.874556419193308,0.03030935102515903,0.9926279086225772,1.1593124338776002,1.4985740120618105,0.0,1000,path_resampling,4,1,20,0.07072181905870441
CRW Simple,-33.16103414251192,0.9926952168536217,0.08005273216499083,-0.09124964194005179,0.5321946726931949,0.9871607885641008,0.8323876532943087,1.183785821053774,0.514,1000,path_resampling,4,1,20,0.7450725417704728
CRW Biased,-32.87663622259368,0.926083072098277,0.04998419300269517,-1.4788060677049917,0.8613571277126058,0.9942074142544276,0.7847026041530948,1.0771495376160516,0.841,1000,path_resampling,4,1,20,0.8613571277126058
CRW Correlated,-33.22725389579727,1.403739528776736,0.040236860929145406,10.034071233531266,0.004893319430286113,0.9983594402615299,1.2694675196197103,1.587674176921465,0.0,1000,path_resampling,4,1,20,0.034253236012002794
"GARCH(1,1)",-25.729196252878648,1.4799455039840337,0.07324331827627843,6.5527547806292565,0.011252921751495722,0.9951252503369266,1.3138279484296291,1.6198796851001878,0.0,1000,path_resampling,4,1,20,0.039385226130235026
GBM,-25.610766474872722,0.9677686891961432,0.03481038497812093,-0.9259107827768879,0.7738800550010617,0.9974190346965176,0.8507838987004867,1.1056528833774495,0.665,1000,path_resampling,4,1,20,0.8613571277126058
