model,bootstrap_iterations,resampled_metric_count,mean_overall_rank,overall_rank_ci_low,overall_rank_ci_high,probability_rank_1,rank_selection_rule,resampling_unit,mean_crps,mean_crps_ci_low,mean_crps_ci_high,mean_absolute_error,mean_absolute_error_ci_low,mean_absolute_error_ci_high,mean_direction_brier_score,mean_direction_brier_score_ci_low,mean_direction_brier_score_ci_high,mean_direction_log_loss,mean_direction_log_loss_ci_low,mean_direction_log_loss_ci_high,coverage_90,coverage_90_ci_low,coverage_90_ci_high,coverage_90_absolute_error,coverage_90_absolute_error_ci_low,coverage_90_absolute_error_ci_high,mean_interval_90_width,mean_interval_90_width_ci_low,mean_interval_90_width_ci_high
CRW Biased,1000,7,1.491,1.0,3.0,0.617,primary=mean_crps; tiebreak=mean_direction_log_loss; remaining_metrics=diagnostic_only,horizons_and_marginal_draws,7.552788424481984e-08,2.684807391191074e-08,1.2040169581926464e-07,1.7075712423643043e-07,7.540766216811202e-08,2.576428560746087e-07,0.063948475,0.02700875,0.110250625,0.27428039345326055,0.15984532466591325,0.4009685772069698,0.99825,1.0,1.0,0.10035000000000001,0.09999999999999998,0.09999999999999998,5.714938725105557e-07,3.5543716137069993e-07,8.247713434759871e-07
CRW Correlated,1000,7,2.309,1.0,4.0,0.209,primary=mean_crps; tiebreak=mean_direction_log_loss; remaining_metrics=diagnostic_only,horizons_and_marginal_draws,8.431887918362109e-08,2.5829382586078208e-08,1.4188531637102906e-07,2.259488504898695e-07,8.561911589483876e-08,3.680836549440169e-07,0.08918205,0.024444375,0.15927625,0.31848950416703636,0.13262757162831673,0.5051592019477145,1.0,1.0,1.0,0.1,0.09999999999999998,0.09999999999999998,8.232650934172601e-07,3.5543716070097295e-07,1.3353439233780227e-06
QRW Adaptive,1000,7,2.343,1.0,4.0,0.166,primary=mean_crps; tiebreak=mean_direction_log_loss; remaining_metrics=diagnostic_only,horizons_and_marginal_draws,8.414369460529438e-08,2.742747651142652e-08,1.371881423145612e-07,2.1445743047504384e-07,7.814708173167668e-08,3.503314319735913e-07,0.0817114,0.02573,0.14682812499999998,0.309389984492545,0.14815635730819537,0.47315518975839843,1.0,1.0,1.0,0.1,0.09999999999999998,0.09999999999999998,7.798507130362723e-07,3.9471199304103387e-07,1.2175194969636437e-06
CRW Simple,1000,7,3.857,3.0,4.0,0.008,primary=mean_crps; tiebreak=mean_direction_log_loss; remaining_metrics=diagnostic_only,horizons_and_marginal_draws,1.0266382746158978e-07,3.284298375621589e-08,1.7092689434889085e-07,1.8991223702769867e-07,7.067504542357831e-08,2.9416843667229e-07,0.10195850000000001,0.036472500000000005,0.16717812499999998,0.35472486789320634,0.1629860139852943,0.522848059246646,0.844,0.5,1.0,0.15280000000000002,0.09999999999999998,0.4,5.089938446037923e-07,2.788512671178678e-07,7.108742743662636e-07
GBM,1000,7,5.047,5.0,6.0,0.0,primary=mean_crps; tiebreak=mean_direction_log_loss; remaining_metrics=diagnostic_only,horizons_and_marginal_draws,1.7381026625362812e-06,9.935208759888503e-07,2.55832959275616e-06,5.714784859017485e-06,3.2966457339913107e-06,8.305546832677661e-06,0.25753919999999997,0.17461625,0.34802562500000006,0.7090794303837431,0.5403916427936033,0.8960706685460754,1.0,1.0,1.0,0.1,0.09999999999999998,0.09999999999999998,2.3295228274908524e-05,1.3554487291777187e-05,3.447381259379785e-05
"GARCH(1,1)",1000,7,5.953,5.0,6.0,0.0,primary=mean_crps; tiebreak=mean_direction_log_loss; remaining_metrics=diagnostic_only,horizons_and_marginal_draws,2.3310047867742466e-06,1.058345697200435e-06,3.86606195861322e-06,8.615834787683577e-06,3.858006957172951e-06,1.4401142151842702e-05,0.22661237499999998,0.17443499999999998,0.278616875,0.6458054971038683,0.5392923305160793,0.7509661463979914,1.0,1.0,1.0,0.1,0.09999999999999998,0.09999999999999998,3.692732811716036e-05,1.5632490315477112e-05,6.46597077646793e-05
