model,rank_mean,rank_ci_low,rank_ci_high
CRW Biased,5.17,4.0,6.0
CRW Correlated,3.95,3.0,6.0
CRW Simple,5.37,4.0,6.0
"GARCH(1,1)",7.0,7.0,7.0
GBM,3.51,3.0,5.0
QRW Adaptive,2.0,2.0,2.0
QRW Heavy-Tail,1.0,1.0,1.0
