model,likelihood_type,aic,bic,log_likelihood,parameter_count,observations,aic_rank_within_family,bic_rank_within_family,delta_aic_within_family,delta_bic_within_family,is_best_in_family
"GARCH(1,1)",continuous_gaussian,-38865381.34611401,-38865331.9060655,19432694.673057005,4,1723749,1.0,1.0,0.0,0.0,True
GBM,continuous_gaussian,-38451109.20910877,-38451084.48908451,19225556.604554385,2,1723749,2.0,2.0,414272.1370052397,414247.4169809893,False
QRW Adaptive,directional_bernoulli,133799.92125683918,133862.887976183,-66893.96062841959,6,266853,1.0,1.0,0.0,0.0,True
QRW Heavy-Tail,directional_bernoulli,133801.92125683918,133875.38242940698,-66893.96062841959,7,266853,2.0,2.0,2.0,12.494453223975142,False
CRW Correlated,directional_bernoulli,183075.27072410655,183096.25964554396,-91535.63536205328,2,266855,3.0,3.0,49275.34946726737,49233.37166936096,False
CRW Simple,directional_bernoulli,369939.58173664834,369939.58173664834,-184969.79086832417,0,266855,4.0,4.0,236139.66047980916,236076.69376046534,False
CRW Biased,directional_bernoulli,369941.1147825485,369951.6092432672,-184969.55739127425,1,266855,5.0,5.0,236141.19352570933,236088.7212670842,False
