model,intercept,beta,beta_se,t_statistic_beta_gt_1,pvalue_beta_gt_1,r_squared,beta_ci_low,beta_ci_high,bootstrap_probability_beta_le_1,bootstrap_iterations,bootstrap_method,horizons_used,min_horizon,max_horizon,pvalue_beta_gt_1_bh
Empirical,-25.297069609462863,0.9528104511256293,0.034575813252692315,-1.3648138520847706,0.8779790095714733,0.9947602544258041,0.6088191488708931,1.1884996242847479,0.646,500,moving_block_returns,6,1,100,0.9563822431262231
QRW Adaptive,-26.078134067096183,1.0023234656647886,0.0011403437157653969,2.0375134555190457,0.0438730042319026,0.9999922338883658,0.9845857864389239,1.0216645706044374,0.418,500,path_resampling,8,1,500,0.11622658771825574
QRW Heavy-Tail,-26.019903180286235,1.0025862250197075,0.0013006810626643207,1.9883621695928104,0.04696449910022216,0.9999899017752483,0.9837140174982374,1.0199109625205924,0.39,500,path_resampling,8,1,500,0.11622658771825574
CRW Simple,-25.92143696796163,0.9934694581598832,0.0036188160358883842,-1.804607301214643,0.9394116321988684,0.9999203949446612,0.9761845867508885,1.0098217506971667,0.788,500,path_resampling,8,1,500,0.9563822431262231
CRW Biased,-25.934905210597666,0.9989681095517269,0.0006745875163012702,-1.5296613461377473,0.9115141601118908,0.9999972639538812,0.9808174852173797,1.0180987763597882,0.5,500,path_resampling,8,1,500,0.9563822431262231
CRW Correlated,-25.99228198655455,1.3714167986506316,0.026644734618952257,13.939594593914432,4.247080333568898e-06,0.9977402904096884,1.35713776644539,1.3867153285124827,0.0,500,path_resampling,8,1,500,3.397664266855118e-05
"GARCH(1,1)",-25.006712292379746,1.0046822279079641,0.0025520218773455615,1.8347130757492818,0.05811329385912787,0.9999612879844235,0.9868483582745676,1.0193598956121168,0.33,500,path_resampling,8,1,500,0.11622658771825574
GBM,-25.14170196193535,0.9982201238206754,0.0008717502286250657,-2.0417272297500455,0.9563822431262231,0.9999954240553649,0.9806822720403244,1.0146427565411937,0.616,500,path_resampling,8,1,500,0.9563822431262231
