model,ks_statistic,ks_pvalue,ks_pvalue_bh,wasserstein_distance,variance_scaling_beta,beta_ci_low,beta_ci_high,pvalue_beta_gt_1,pvalue_beta_gt_1_bh,acf_mse,kurtosis,tail_index,var_99,cvar_99
QRW Adaptive,0.034,0.9351121874342835,0.9603008958861495,3.44420910109282e-07,1.0023234656647886,0.9845857864389239,1.0216645706044374,0.0438730042319026,0.11622658771825574,0.0022581788123429676,4.605254881474686,36397.79080526875,0.0,1.4110576929252591e-08
QRW Heavy-Tail,0.032,0.9603008958861495,0.9603008958861495,4.394057799347164e-07,1.0025862250197075,0.9837140174982374,1.0199109625205924,0.04696449910022216,0.11622658771825574,0.0022573060304518873,5.630901543654665,30214.91056716523,0.0,2.7495863167112658e-08
CRW Simple,0.118,0.0018769751767371433,0.004379608745720001,1.4016168746745868e-06,0.9934694581598832,0.9761845867508885,1.0098217506971667,0.9394116321988684,0.9563822431262231,0.002271521305702195,6.450323960665145,27401.47710589232,5.940659112626466e-06,5.940863460784267e-06
CRW Biased,0.094,0.02406614705241275,0.042115757341722314,1.1640287033492057e-06,0.9989681095517269,0.9808174852173797,1.0180987763597882,0.9115141601118908,0.9563822431262231,0.0022876242018075796,6.713918089045274,69311.12247755042,5.940729696261719e-06,5.940799929093285e-06
CRW Correlated,0.088,0.04158607858587287,0.058220510020222015,1.1759007058837139e-06,1.3714167986506316,1.35713776644539,1.3867153285124827,4.247080333568898e-06,3.397664266855118e-05,0.008245895815156813,7.972515685274225,22951.508548351587,5.941082992935322e-06,5.941216417568882e-06
"GARCH(1,1)",0.51,1.3827949314146186e-59,9.67956451990233e-59,2.19797246548763e-06,1.0046822279079641,0.9868483582745676,1.0193598956121168,0.05811329385912787,0.11622658771825574,0.0022605989864740387,3.051788618246102,3.8982534338367105,8.398960946809355e-06,1.0197889468022386e-05
GBM,0.498,1.066334045050866e-56,3.732169157678031e-56,2.2043458787959717e-06,0.9982201238206754,0.9806822720403244,1.0146427565411937,0.9563822431262231,0.9563822431262231,0.0022760883292175073,3.196706209817652,3.6065340860529043,8.701964618245849e-06,9.402711218123267e-06
