model,ks_statistic_rank,wasserstein_rank,variance_scaling_rank,acf_mse_rank,kurtosis_rank,var_99_rank,cvar_99_rank,mean_rank,overall_rank
QRW Heavy-Tail,1.0,2.0,5.0,1.0,4.0,1.0,6.0,2.857142857142857,1.0
QRW Adaptive,2.0,1.0,4.0,2.0,5.0,1.0,7.0,3.142857142857143,2.0
CRW Biased,4.0,3.0,3.0,6.0,2.0,4.0,1.0,3.2857142857142856,3.0
CRW Simple,5.0,5.0,1.0,4.0,3.0,3.0,2.0,3.2857142857142856,3.0
CRW Correlated,3.0,4.0,7.0,7.0,1.0,5.0,3.0,4.285714285714286,5.0
GBM,6.0,7.0,2.0,5.0,6.0,7.0,4.0,5.285714285714286,6.0
"GARCH(1,1)",7.0,6.0,6.0,3.0,7.0,6.0,5.0,5.714285714285714,7.0
