model,sample_size,kurtosis,kurtosis_test_statistic,kurtosis_test_pvalue,tail_index,tail_observations,var_95,cvar_95,var_99,cvar_99,kurtosis_test_pvalue_bh
Empirical,500,18.45377734535907,11.13289252651226,8.677318942904178e-29,9.80812792110119,9,0.0,7.154173387357195e-08,5.9369907177088525e-08,5.937963911506472e-06,6.941855154323343e-28
QRW Adaptive,500,4.605254881474686,4.502169636543775,6.7263259694617074e-06,36397.79080526875,8,0.0,1.4110576929252591e-08,0.0,1.4110576929252591e-08,8.968434625948944e-06
QRW Heavy-Tail,500,5.630901543654665,5.916543703105484,3.28777143342781e-09,30214.91056716523,7,0.0,2.7495863167112658e-08,0.0,2.7495863167112658e-08,5.260434293484496e-09
CRW Simple,500,6.450323960665145,6.739349874769153,1.5909688086761114e-11,27401.47710589232,7,5.940517597345618e-06,5.94064111699672e-06,5.940659112626466e-06,5.940863460784267e-06,3.181937617352223e-11
CRW Biased,500,6.713918089045274,6.965461119047904,3.2732981778790958e-12,69311.12247755042,7,5.940482307808965e-06,5.9406273916452895e-06,5.940729696261719e-06,5.940799929093285e-06,8.728795141010923e-12
CRW Correlated,500,7.972515685274225,7.863935367531912,3.722496671012561e-15,22951.508548351587,6,5.940205299495841e-06,5.94077876832549e-06,5.941082992935322e-06,5.941216417568882e-06,1.4889986684050245e-14
"GARCH(1,1)",500,3.051788618246102,0.33818095091128814,0.7352268300408284,3.8982534338367105,50,6.0721322988555235e-06,7.88985617252759e-06,8.398960946809355e-06,1.0197889468022386e-05,0.7352268300408284
GBM,500,3.196706209817652,0.9418645176927954,0.34626200831625775,3.6065340860529043,50,5.515462843891759e-06,7.476762019215932e-06,8.701964618245849e-06,9.402711218123267e-06,0.3957280095042946
