feature,mean,std,min,max,skewness,kurtosis
timestamp,1.779364464101659e+18,22533105995921.656,1.779321600186782e+18,1.779407999364078e+18,-0.24358837507179515,-0.9888490876482696
price,653.1367104279933,3.2848402317611205,646.33,659.82,0.14442845393464257,-1.0478511926861205
quantity,0.1679321342435515,1.2722333352235138,0.001,394.213,119.84124307693254,28576.42812614982
trade_id,1498922494.16337,177852.03782342718,1498614354.0,1499230382.0,-0.0009675918949582427,-1.1997945408857562
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,1.4846911662510798e-05,0.005808294034366087,-1.2899999999999636,0.5300000000000864,-17.74560264912354,4941.168873152167
log_return,2.270067599952885e-08,8.882428538019385e-06,-0.001968399442315416,0.0008134136963864336,-17.60203954112603,4897.064896303963
tick_direction,-0.019518456444426277,0.9998094967832757,-1.0,1.0,0.03904444672704707,-1.9984820667161785
trade_intensity,35.02535257327392,62.603940010524525,1.0,1286.0,7.470383152465837,92.28772623119109
obi,-0.01609434003143624,0.7218082132239129,-1.0,1.0,0.04070227399714124,-1.5130846417227013
mid_price,653.1348996659224,3.284614962528343,646.3442709677457,659.7530829542374,0.14465608251140658,-1.0478229577908882
vwmp,653.1348996659224,3.284614962528343,646.3442709677457,659.7530829542374,0.14465608251140658,-1.0478229577908882
price_mid_deviation,0.0018107620709308181,0.06387756009681969,-1.2463292223966391,0.37189707518587056,0.013205619227469557,1.1990746344687464
