feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7787570529790758e+18,22726987789674.91,1.778716800238775e+18,1.778803198356495e+18,-0.09515908153769348,-1.1137127048613487
price,675.2960146170683,5.063347727996511,665.42,687.66,0.06586197893066363,-1.0616744219540892
quantity,0.15243758866267237,1.1640987414480533,0.001,418.827,121.49042190838325,29892.629641221218
trade_id,1493706946.5642648,303800.3313286365,1493180650.0,1494233115.0,-0.0003787452502560307,-1.1997435288714267
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,6.3123512311000944e-06,0.0057866573211768435,-0.8400000000000318,0.8400000000000318,-4.532629876812964,2120.496528070797
log_return,9.352052111923076e-09,8.5390555512103e-06,-0.0012409148906682432,0.0012409148906682432,-4.481913523512952,2104.704926034452
tick_direction,0.09477243446984392,0.9954989631660393,-1.0,1.0,-0.19040214836172406,-1.9637507839316444
trade_intensity,48.71847679803829,121.79403038169873,1.0,2780.0,10.86954542841347,163.69211662017102
obi,0.10124582747467017,0.7053652543680389,-1.0,1.0,-0.20865342203742543,-1.4040119147672587
mid_price,675.2957782981312,5.063608684372797,665.4364971158844,687.561455086784,0.06592910987869524,-1.0616137812852315
vwmp,675.2957782981312,5.063608684372797,665.4364971158844,687.561455086784,0.06592910987869524,-1.0616137812852315
price_mid_deviation,0.00023631893719708416,0.0555819955729374,-0.7286434530765291,0.355505420385839,-0.2710520075459038,1.4094222432808357
