feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7822153446377738e+18,21909091659342.465,1.782172800069211e+18,1.782259199505287e+18,-0.009418398373298257,-0.8704949805144477
price,62766.50803662092,594.3048907071077,61938.0,64275.38,1.3125481122654543,0.448213778981263
quantity,0.005630427174143212,0.0676584504120435,1e-05,29.57531,95.06308723125835,20621.346659862815
trade_id,6434313798.074953,1046733.5082428283,6432500131.0,6436126320.0,-0.0008718911595334696,-1.199993425700969
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,-0.0003591021775095171,0.22136408495797835,-106.31000000000495,38.81999999999971,-52.424764077565186,25588.049517437732
log_return,-5.666296061179424e-09,3.532401414942058e-06,-0.001703581064198545,0.000610898370045021,-52.9792344619298,25913.068827980434
tick_direction,-0.03164772317754472,0.9994990853510961,-1.0,1.0,0.06332719439789795,-1.9959907816551252
trade_intensity,132.94874083485445,202.37190472653066,1.0,4506.0,7.722774137733881,106.27923818789276
obi,-0.03358586895024029,0.8668486823949981,-1.0,1.0,0.06255223231768693,-1.7859797349023596
mid_price,62766.50637514284,594.3286591888076,61938.0001073257,64275.37075646353,1.312468565241622,0.44793997558800225
vwmp,62766.50637514284,594.3286591888076,61938.0001073257,64275.37075646353,1.312468565241622,0.44793997558800225
price_mid_deviation,0.00166147807166749,2.1500979752964353,-171.31079409167432,40.01023093997355,-4.64923213092832,302.43588133258766
