feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7793668849399327e+18,22128937899121.4,1.779321600096413e+18,1.779407999849615e+18,-0.3950581067295199,-0.7669576927882957
price,77536.91882958062,358.96069100789884,76719.47,78200.0,-0.19829685746823944,-1.1593786993300965
quantity,0.004621282291350407,0.05593156857087087,1e-05,47.65,283.9375171563602,218674.9431405331
trade_id,6312264779.246673,713752.9442415289,6311028372.0,6313501517.0,0.00022038902216396593,-1.1992970682350594
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,2.5962729861241695e-05,0.1785598494350704,-56.99000000000524,33.75,-7.162759632008024,5944.102000810816
log_return,3.3464079523414745e-10,2.3034604620933883e-06,-0.0007312363126796839,0.0004369108852220194,-6.939093397102211,5856.878036760298
tick_direction,0.04954499577408158,0.9987718925729469,-1.0,1.0,-0.09921189539625865,-1.9901586328704237
trade_intensity,119.13578696447767,165.42623959240143,1.0,3470.0,5.450395990255759,60.44021307605334
obi,0.03221040797065073,0.866817758317737,-1.0,1.0,-0.05970658283729825,-1.7905015759433807
mid_price,77536.91416923441,358.93947665683584,76719.99778247012,78200.00000000137,-0.19823465791233272,-1.159432103373413
vwmp,77536.91416923441,358.93947665683584,76719.99778247012,78200.00000000137,-0.19823465791233272,-1.159432103373413
price_mid_deviation,0.004660346188514447,2.0190585943407675,-51.31380110043392,34.443984502519015,-0.06889569075017098,7.860113287738795
