feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7792801792190495e+18,23211045403869.39,1.779235200183703e+18,1.779321599640499e+18,-0.3747722261220204,-0.911709780481075
price,77290.8392847521,310.90582112894003,76516.74,77853.04,-0.812816523439638,-0.34546018770959375
quantity,0.004675586978423464,0.04775241968271544,1e-05,7.72666,47.38522223748628,4218.161926327265
trade_id,6309809764.650792,703647.046698663,6308590618.0,6311028371.0,-0.001195057275052646,-1.1992702720964372
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,0.00029873571957368574,0.17688163527704032,-29.94000000000233,29.94000000000233,-2.7964343574553534,2079.868266216541
log_return,3.8699976801543e-09,2.2874021023038143e-06,-0.0003867945246902593,0.0003867945246902593,-2.7703207341158707,2064.4064304761714
tick_direction,-0.004667862658222317,0.9999891054697566,-1.0,1.0,0.00933583285344114,-1.9999145067217021
trade_intensity,113.26534741390755,135.3680951948069,1.0,1834.0,3.0987512911795885,16.586340851108833
obi,-0.02314373813993542,0.8735686789939492,-1.0,1.0,0.04622952583771057,-1.8014463061388488
mid_price,77290.83304213958,310.915199926022,76518.58178825423,77853.02290741628,-0.8127029963854145,-0.3457066093208012
vwmp,77290.83304213958,310.915199926022,76518.58178825423,77853.02290741628,-0.8127029963854145,-0.3457066093208012
price_mid_deviation,0.006242612524956629,2.0499181684295587,-26.100215847298387,28.711826340440894,0.22667268216758957,3.1645440294479705
