model,ks_statistic,ks_pvalue,ks_pvalue_bh,wasserstein_distance,variance_scaling_beta,beta_ci_low,beta_ci_high,pvalue_beta_gt_1,pvalue_beta_gt_1_bh,acf_mse,kurtosis,tail_index,var_99,cvar_99
QRW Adaptive,0.034,0.9351121874342835,0.9351121874342835,3.44420910109282e-07,1.0023234656647886,0.9845857864389231,1.0216645706044378,0.0438730042319026,0.1355973728103618,0.00225817881234297,4.605254881474686,36397.79080526875,0.0,1.4110576929252591e-08
CRW Simple,0.09,0.03479508043637821,0.04175409652365385,1.1521518303221227e-06,0.9934694581598832,0.9765151551779304,1.0122439438498811,0.9394116321988684,0.9563822431262231,0.002271521305702196,7.172558837569505,31844.789872693826,5.940729343336376e-06,5.94079993111708e-06
CRW Biased,0.094,0.02406614705241275,0.036099220578619126,1.0927330346615142e-06,0.9989681095517269,0.981366630676416,1.0163536161314526,0.9115141601118908,0.9563822431262231,0.0022876242018075818,6.776779134583657,117828.63542136311,5.940729696261719e-06,5.940799929093285e-06
CRW Correlated,0.104,0.008922221390371415,0.01784444278074283,1.223422097667836e-06,1.3714167986506316,1.3535592151563869,1.3863385349238668,4.247080333568898e-06,2.9729562334982286e-05,0.008245895815156815,6.294176149870592,17262.573029781463,5.9409421633988415e-06,5.941463536630218e-06
"GARCH(1,1)",0.544,3.1438834594049455e-68,1.8863300756429673e-67,2.3974915172821496e-06,1.0046822237548978,0.9872888760186794,1.0205672628722577,0.058113159775869346,0.1355973728103618,0.002260598971019864,3.0370568517217027,4.70620769720527,7.523453659861714e-06,8.764508131504844e-06
GBM,0.464,5.773053012505568e-49,1.7319159037516705e-48,2.2649905945831092e-06,0.9982201238206754,0.9812784425776232,1.014608780140792,0.9563822431262231,0.9563822431262231,0.0022760883292175095,3.032902897939685,5.2444458410350725,8.736889102663982e-06,1.0543671706754172e-05
