model,intercept,beta,beta_se,t_statistic_beta_gt_1,pvalue_beta_gt_1,r_squared,beta_ci_low,beta_ci_high,bootstrap_probability_beta_le_1,bootstrap_iterations,bootstrap_method,horizons_used,min_horizon,max_horizon,pvalue_beta_gt_1_bh
Empirical,-25.297069609462863,0.9528104511256293,0.034575813252692315,-1.3648138520847706,0.8779790095714733,0.9947602544258041,0.6088191488708936,1.1884996242847483,0.646,500,moving_block_returns,6,1,100,0.9563822431262231
QRW Adaptive,-26.078134067096183,1.0023234656647886,0.0011403437157653969,2.0375134555190457,0.0438730042319026,0.9999922338883658,0.9845857864389231,1.0216645706044378,0.418,500,path_resampling,8,1,500,0.1355973728103618
CRW Simple,-25.92143696796163,0.9934694581598832,0.0036188160358883842,-1.804607301214643,0.9394116321988684,0.9999203949446612,0.9765151551779304,1.0122439438498811,0.774,500,path_resampling,8,1,500,0.9563822431262231
CRW Biased,-25.934905210597666,0.9989681095517269,0.0006745875163012702,-1.5296613461377473,0.9115141601118908,0.9999972639538812,0.981366630676416,1.0163536161314526,0.57,500,path_resampling,8,1,500,0.9563822431262231
CRW Correlated,-25.99228198655455,1.3714167986506316,0.026644734618952257,13.939594593914432,4.247080333568898e-06,0.9977402904096884,1.3535592151563869,1.3863385349238668,0.0,500,path_resampling,8,1,500,2.9729562334982286e-05
"GARCH(1,1)",-25.006709745657854,1.0046822237548978,0.002552017297770132,1.834714740761737,0.058113159775869346,0.9999612881230346,0.9872888760186794,1.0205672628722577,0.312,500,path_resampling,8,1,500,0.1355973728103618
GBM,-25.14170196193535,0.9982201238206754,0.0008717502286250657,-2.0417272297500455,0.9563822431262231,0.9999954240553649,0.9812784425776232,1.014608780140792,0.624,500,path_resampling,8,1,500,0.9563822431262231
